channel_id,video_id,title,published_at,view_count,like_count,comment_count,description
UC_x5XG1OV2P6uZZ5FSM9Ttw,9nt4oYZAu6Q,Just in from the news desk ðŸ“°: The debut of DolphinGemma,2025-04-18T20:32:39Z,1938,74,3,"Yes, It's for real. We're charting into the realm of interspecies communication. Today, we announce DolphinGemma, our ..."
UC_x5XG1OV2P6uZZ5FSM9Ttw,A7lWKDloHmY,POV: Youâ€™re prepping for #GoogleIO,2025-04-17T16:00:26Z,6703,129,12,"Building the future starts bright and early with an iced coffee hand dunk, rower sprints, a banana power-up, and a deep dive into ..."
UC_x5XG1OV2P6uZZ5FSM9Ttw,44C8u0CDtSo,Getting started with Agent Development Kit,2025-04-16T23:00:04Z,28453,1012,54,Ready to build your first AI agent with ADK? This video simplifies the process using Google's open-source Agent Development Kit ...
UC_x5XG1OV2P6uZZ5FSM9Ttw,X_1zsJfYLMA,Building Agentic apps with Firebase and Google Cloud,2025-04-16T16:00:04Z,8512,290,16,Learn how to build an agentic coffee ordering agent with Firebase and Google Cloud. Resources: Check out the solution ...
UC_x5XG1OV2P6uZZ5FSM9Ttw,zgrOwow_uTQ,Introducing Agent Development Kit,2025-04-10T19:59:09Z,202806,6440,316,"Building complex, production-ready AI agents, especially multi-modal or multi-agent systems, can be challenging. Introducing the ..."
UC_x5XG1OV2P6uZZ5FSM9Ttw,ichL9eGGMNQ,ShieldGemma 2 â€“ Developing safe and responsible AI for images,2025-04-02T16:01:04Z,454,19,2,Responsible AI development in multimodal contexts requires robust image safety classifiers. Explore our model for classifying ...
UC_x5XG1OV2P6uZZ5FSM9Ttw,Bj7ODzcNSHY,Tracking Google Wallet Pass Usage with API Callbacks,2025-03-07T18:19:06Z,0,0,0,How many of your Google Wallet passes are actually out there or being used? Go beyond simple issuance and learn how to track ...
UC_x5XG1OV2P6uZZ5FSM9Ttw,CBSKiIjKLQ0,Can you identify this functionâ€™s output and behavior? Go!,2024-11-11T14:00:12Z,1663,60,6,Calling all LISP enthusiasts! Our latest dev challenge features a LISP function designed to remove duplicates from a list.
UC_x5XG1OV2P6uZZ5FSM9Ttw,8UjpqBRj6dA,Gemini function calling API at Google Cloud Next â€˜24,2024-05-03T23:00:08Z,3771,134,3,"Joe, a Senior Tech Writer on the AI Developer Relations team, shares how applying the Gemini function calling API is what he's ..."
UC_x5XG1OV2P6uZZ5FSM9Ttw,e0WOJihtGFM,Enhance insights and efficiency with Google Cloud object tracking,2024-01-31T20:00:14Z,2760,57,3,"In this video, Irvi Aini speaks to Google Cloud's object tracking. Specifically, she'll detail why object tracking is so important in a ..."
UCBJycsmduvYEL83R_U4JriQ,VTs8wnMsh0k,Reviewing a Bionic Hand!,2025-04-15T23:31:15Z,2025680,77125,4920,Tech YouTube is getting weird... but the bionic hand is truly awesome Psyonic Ability hand: https://www.psyonic.io/ability-hand ...
UCBJycsmduvYEL83R_U4JriQ,p24qhUFIe68,Oppo Find X8 Ultra: The Bar&#39;s Been Raised!,2025-04-10T12:30:39Z,2225088,73886,4930,Just an absolute spec monster OnePlus 13 Review: https://youtu.be/-kuG6RgL32c MKBHD Merch: http://shop.MKBHD.com ...
UCBJycsmduvYEL83R_U4JriQ,88yQTzlmsiA,The Truth about Drone Deliveries!,2025-03-25T19:30:58Z,2299441,87460,5312,Weren't we supposed to have drone deliveries by now? Real Engineering video: ...
UCBJycsmduvYEL83R_U4JriQ,Uwmp16aSgdk,M4 Macbook Air Review: Too Easy!,2025-03-11T13:00:45Z,4103708,116322,4691,M4 Macbook Air got better and dropped in price... they are on one. MKBHD Merch: http://shop.MKBHD.com M4 MacBook Air: ...
UCBJycsmduvYEL83R_U4JriQ,SAb4zRyxrD4,Samsung Galaxy S25/Ultra Impressions: What Happened?,2025-01-22T18:00:39Z,5639869,156068,14475,It's the same picture. Get an S25 Ultra case that'll never yellow at https://dbrand.com/ghost Samsung Galaxy S25 Ultra: ...
UCBJycsmduvYEL83R_U4JriQ,-kuG6RgL32c,OnePlus 13 Review: The Bar Has Been Set!!,2025-01-07T16:30:47Z,4061903,126823,7360,"This phone is great, but... wait til this year of phones The wallpaper behind me: https://panels.art/w/rsu MKBHD Merch: http://shop."
UCBJycsmduvYEL83R_U4JriQ,fgm5uZaS3-E,The Tesla Robotaxi is Confusing...,2024-10-14T23:37:50Z,4749109,158639,18842,"The Robotaxi event was a lot. These are my thoughts, plus a test ride and some extras. Full unedited Cybercab ride: ..."
UCBJycsmduvYEL83R_U4JriQ,_9prH7NFmLI,My FBI Declassified Story,2024-07-26T18:14:38Z,6790626,317251,8027,That time the FBI visited the studio... Storytime podcast episode coming soon: https://youtube.com/Waveform The original Escobar ...
UCBJycsmduvYEL83R_U4JriQ,kkX8_nbBqBQ,Android 15 Hands-On: Top 5 Features!,2024-05-28T21:40:15Z,3586222,132928,7258,Android 15 features are more subtle and hidden than ever. These are the best ones MKBHD Merch: http://shop.MKBHD.com Tech ...
UCBJycsmduvYEL83R_U4JriQ,-T0MGehwWvE,M4 iPad Pro Impressions: Well This is Awkward,2024-05-08T02:06:33Z,6480948,186477,12814,"I don't know who was asking for a thinner iPad, but we got it Get our first MKBHD Ridge Wallet and 10% off with code MKBHD at ..."
UCYO_jab_esuFRV4b17AJtAw,aw-8BhCilj0,Measuring the distance to Venus without radar,2025-04-08T13:45:00Z,232475,12068,182,From this video with Terry Tao: https://youtu.be/hFMaT9oRbs4.
UCYO_jab_esuFRV4b17AJtAw,M6LUPYsjods,Measuring the speed of light using Jupiter&#39;s moons,2025-04-07T15:57:13Z,1863110,80856,748,From this video with Terry Tao: https://youtu.be/hFMaT9oRbs4.
UCYO_jab_esuFRV4b17AJtAw,mHya9J9pkq4,The tragic tale of Guillaume Le Gentil,2025-03-27T16:01:04Z,248377,11510,194,From this video: https://youtu.be/hFMaT9oRbs4 Artwork by Kurt Bruns.
UCYO_jab_esuFRV4b17AJtAw,C8baNzpnZ7o,Zooming out by powers of 10,2025-03-26T18:37:29Z,2324641,145228,2093,From this video: https://youtu.be/YdOXS_9_P4U.
UCYO_jab_esuFRV4b17AJtAw,6dTyOl1fmDo,There&#39;s more to those colliding blocks that compute pi,2025-03-13T15:36:52Z,2790651,79926,2359,"Two colliding blocks compute pi. Here we dig into the physics to explain why Instead of sponsored ad reads, these lessons are ..."
UCYO_jab_esuFRV4b17AJtAw,TZAC0WFemvE,When being beautifully wrong leads to discovery,2025-02-28T15:00:44Z,2177734,136210,758,Full video: https://youtu.be/YdOXS_9_P4U.
UCYO_jab_esuFRV4b17AJtAw,YP1mMXRCnaI,Why the ancient Greeks rejected heliocentrism,2025-02-27T15:00:48Z,1142493,86372,1823,From this video on the cosmic distance ladder: https://youtu.be/YdOXS_9_P4U.
UCYO_jab_esuFRV4b17AJtAw,gzbFNnTCkqQ,How to estimate the distance to the sun,2025-02-26T15:01:03Z,1313090,74129,964,Full video: https://youtu.be/YdOXS_9_P4U.
UCYO_jab_esuFRV4b17AJtAw,drmphB3rdHY,How Aristarchus deduced the distance to the moon,2025-02-25T15:00:57Z,114604,7284,106,Full video: https://youtu.be/YdOXS_9_P4U.
